ref,Number on WHO doc,country,population,design,dom_var,history_covid,vaccine,Nabs_ratio,endpoint,VE,lower,upper,days_post_vax,all_time,eff_sample
Polinkski et al.,93,USA,gen pop,Retrospective,Alpha,Excluded,Johnson and Johnson,0.470306513,Hospitalization,0.81,0.79,0.84,14+,1,1000
Polinkski et al.,93,USA,gen pop,Retrospective,Delta,Excluded,Johnson and Johnson,0.470306513,Hospitalization,0.85,0.73,0.91,14+,1,65
Grannis et al.,92,USA,gen pop,Test-Negative,Delta,Included,Johnson and Johnson,0.470306513,Hospitalization,0.6,0.31,0.77,14+,1,11
Grannis et al.,92,USA,gen pop,Test-Negative,Delta,Included,Johnson and Johnson,0.470306513,Emergency/Urgent Care,0.65,0.56,0.72,14+,1,145
Grannis et al.,92,USA,gen pop,Test-Negative,Delta,Included,Pfizer,2.372340426,Hospitalization,0.8,0.73,0.85,14+,1,190
Grannis et al.,92,USA,gen pop,Test-Negative,Delta,Included,Pfizer,2.372340426,Emergency/Urgent Care,0.77,0.74,0.8,14+,1,600
Grannis et al.,92,USA,gen pop,Test-Negative,Delta,Included,Moderna,4.133291219,Hospitalization,0.95,0.92,0.97,14+,1,300
Grannis et al.,92,USA,gen pop,Test-Negative,Delta,Included,Moderna,4.133291219,Emergency/Urgent Care,0.92,0.89,0.93,14+,1,600
Nasreen et al.,49#,Canada,gen pop,Test-Negative,Non-Voc,Excluded,Pfizer,2.372340426,Hospitalization or Death,0.97,0.88,0.99,14+,1,60
Nasreen et al.,49#,Canada,gen pop,Test-Negative,Alpha,Excluded,Pfizer,2.372340426,Hospitalization or Death,0.96,0.94,0.97,14+,1,700
Nasreen et al.,49#,Canada,gen pop,Test-Negative,Alpha,Excluded,Moderna,4.133291219,Hospitalization or Death,0.95,0.92,0.97,14+,1,300
Nasreen et al.,49#,Canada,gen pop,Test-Negative,Alpha,Excluded,Astrazeneca,0.542372881,Hospitalization or Death,0.92,0.41,0.99,14+,1,4
Nasreen et al.,49#,Canada,gen pop,Test-Negative,Beta,Excluded,Pfizer,2.372340426,Hospitalization or Death,0.92,0.39,0.99,14+,1,4
Nasreen et al.,49#,Canada,gen pop,Test-Negative,Gamma,Excluded,Pfizer,2.372340426,Hospitalization or Death,0.94,0.59,0.99,14+,1,7
Nasreen et al.,49#,Canada,gen pop,Test-Negative,Delta,Excluded,Pfizer,2.372340426,Hospitalization or Death,0.98,0.96,0.99,14+,1,400
Nasreen et al.,49#,Canada,gen pop,Test-Negative,Delta,Excluded,Moderna,4.133291219,Hospitalization or Death,0.98,0.93,1,14+,1,100
Nasreen et al.,49#,Canada,gen pop,Test-Negative,Delta,Excluded,Astrazeneca,0.542372881,Hospitalization or Death,0.9,0.67,0.97,14+,1,15
Skowronski et al.,114#,Canada,gen pop,Test-Negative,All,Excluded,Pfizer,2.372340426,Hospitalization,0.98,0.97,0.98,14+,1,3230
Skowronski et al.,114#,Canada,gen pop,Test-Negative,All,Excluded,Pfizer,2.372340426,Hospitalization,0.98,0.98,0.99,28-55,0,3230
Skowronski et al.,114#,Canada,gen pop,Test-Negative,All,Excluded,Pfizer,2.372340426,Hospitalization,0.98,0.94,0.99,168+,0,125
Skowronski et al.,114#,Canada,gen pop,Test-Negative,All,Excluded,Moderna,4.133291219,Hospitalization,0.97,0.96,0.98,14+,1,1200
Skowronski et al.,114#,Canada,gen pop,Test-Negative,All,Excluded,Moderna,4.133291219,Hospitalization,0.99,0.96,1,28-55,0,125
Skowronski et al.,114#,Canada,gen pop,Test-Negative,All,Excluded,Moderna,4.133291219,Hospitalization,0.96,0.83,0.99,168+,0,30
Skowronski et al.,114#,Canada,gen pop,Test-Negative,All,Excluded,Astrazeneca,0.542372881,Hospitalization,0.94,0.9,0.96,14+,1,270
Skowronski et al.,114#,Canada,gen pop,Test-Negative,All,Excluded,Astrazeneca,0.542372881,Hospitalization,0.88,0.62,0.96,28-55,0,10
Skowronski et al.,114#,Canada,gen pop,Test-Negative,All,Excluded,Astrazeneca,0.542372881,Hospitalization,0.95,0.89,0.98,84+,0,96
Skowronski et al.,114#,Canada,gen pop,Test-Negative,Delta,Excluded,Pfizer,2.372340426,Hospitalization,0.98,0.97,0.98,14+,1,3230
Skowronski et al.,114#,Canada,gen pop,Test-Negative,Delta,Excluded,Pfizer,2.372340426,Hospitalization,0.99,0.98,0.99,28-55,0,1720
Skowronski et al.,114#,Canada,gen pop,Test-Negative,Delta,Excluded,Pfizer,2.372340426,Hospitalization,0.98,0.91,0.99,168+,0,40
Skowronski et al.,114#,Canada,gen pop,Test-Negative,Delta,Excluded,Moderna,4.133291219,Hospitalization,0.97,0.96,0.98,14+,1,1200
Skowronski et al.,114#,Canada,gen pop,Test-Negative,Delta,Excluded,Moderna,4.133291219,Hospitalization,0.99,0.96,1,28-55,0,125
Skowronski et al.,114#,Canada,gen pop,Test-Negative,Delta,Excluded,Moderna,4.133291219,Hospitalization,0.84,0.63,0.93,112-139,0,25
Skowronski et al.,114#,Canada,gen pop,Test-Negative,Delta,Excluded,Astrazeneca,0.542372881,Hospitalization,0.92,0.86,0.95,14+,1,160
Skowronski et al.,114#,Canada,gen pop,Test-Negative,Delta,Excluded,Astrazeneca,0.542372881,Hospitalization,0.84,0.51,0.95,28-55,0,15
Skowronski et al.,114#,Canada,gen pop,Test-Negative,Delta,Excluded,Astrazeneca,0.542372881,Hospitalization,0.92,0.81,0.97,84+,0,55
Skowronski et al.,114#,Canada,gen pop,Test-Negative,Alpha,Excluded,Pfizer,2.372340426,Hospitalization,0.96,0.83,0.99,14+,1,30
Skowronski et al.,114#,Canada,gen pop,Test-Negative,Gamma,Excluded,Pfizer,2.372340426,Hospitalization,0.95,0.83,0.99,14+,1,30
Andrews et al. ,95#,England,gen pop,Test-Negative,Alpha,Excluded,Pfizer,2.372340426,Hospitalization,0.979,0.914,0.995,14+,1,40
Andrews et al. ,95#,England,gen pop,Test-Negative,Alpha,Excluded,Pfizer,2.372340426,Death,0.963,0.899,0.986,14+,1,90
Andrews et al. ,95#,England,gen pop,Test-Negative,Alpha,Excluded,Astrazeneca,0.542372881,Hospitalization,0.939,0.849,0.975,14+,1,62
Andrews et al. ,95#,England,gen pop,Test-Negative,Alpha,Excluded,Astrazeneca,0.542372881,Hospitalization,0.938,0.847,0.975,70+,0,60
